date,phase,status,reason,utc,local_solar_hour,month,tiles,usable_frac,valid_px,water_px,urban_mean,urban_px,rural_strict,suhii_strict,rural_+rural,suhii_+rural,rural_wide,suhii_wide,suhii,suhii_spread,view_urban,view_rural,view_delta
2026-02-07,day,skipped,too few urban pixels,2026-02-07T01:21:08,7.24,2,45QWE+45QWF+45QXF,0.0,10,0,,,,,,,,,,,,,
2026-02-10,night,skipped,no usable LST pixels,2026-02-10T23:49:54,5.71,2,,,,,,,,,,,,,,,,,
2026-02-11,night,skipped,usable 24% < 30%,2026-02-11T23:03:37,4.95,2,45QWE+45QWF+45QXE+45QXF,0.241,328659,126868,17.969,167418,17.995,-0.026,17.996,-0.027,17.925,0.044,-0.003,0.071,,,
2026-02-14,night,skipped,no usable LST pixels,2026-02-14T22:19:13,4.21,2,,,,,,,,,,,,,,,,,
2026-02-15,night,ok,,2026-02-15T21:31:54,3.41,2,45QWE+45QWF+45QXE+45QXF,0.4557,717042,126259,18.713,327875,18.717,-0.004,18.717,-0.004,18.742,-0.029,-0.012,0.025,19.58,17.39,2.19
2026-02-19,night,skipped,usable 16% < 30%,2026-02-19T20:00:41,1.89,2,45QWE+45QWF+45QXE+45QXF,0.162,239732,126238,19.32,85873,19.583,-0.263,19.586,-0.266,19.509,-0.189,-0.24,0.077,,,
2026-03-05,night,ok,,2026-03-05T23:46:24,5.66,3,45QWF+45QXE+45QXF,0.3364,555931,58484,21.972,158194,21.574,0.398,21.57,0.402,21.675,0.297,0.366,0.105,26.08,25.73,0.34
2026-03-07,night,skipped,too few rural pixels,2026-03-07T13:58:31,19.86,3,45QWE+45QWF+45QXE+45QXF,0.0,86,126129,29.977,73,,,,,,,,,,,
2026-03-08,night,skipped,no usable LST pixels,2026-03-08T23:01:23,4.91,3,,,,,,,,,,,,,,,,,
2026-03-09,night,skipped,no usable LST pixels,2026-03-09T22:14:26,4.13,3,,,,,,,,,,,,,,,,,
2026-03-12,night,skipped,no usable LST pixels,2026-03-12T11:40:52,17.56,3,,,,,,,,,,,,,,,,,
2026-03-19,day,skipped,usable 0% < 30%,2026-03-19T09:26:27,15.33,3,45QWE+45QWF+45QXF,0.0029,5242,0,32.27,572,33.731,-1.461,33.731,-1.461,33.024,-0.754,-1.225,0.707,,,
2026-03-21,night,skipped,too few urban pixels,2026-03-21T17:42:42,23.59,3,45QWE+45QWF+45QXE+45QXF,0.0067,77,126060,,,,,,,,,,,,,
2026-03-24,day,skipped,usable 1% < 30%,2026-03-24T07:07:33,13.01,3,45QWE+45QXE,0.0127,22900,4918,36.563,8279,34.066,2.497,34.066,2.497,34.143,2.42,2.471,0.077,,,
2026-03-28,day,skipped,usable 4% < 30%,2026-03-28T05:36:33,11.49,3,45QWE+45QWF+45QXE,0.039,68921,21790,36.116,9707,34.75,1.366,34.75,1.366,34.406,1.71,1.481,0.343,,,
2026-03-29,night,skipped,usable 1% < 30%,2026-03-29T14:40:02,20.56,3,45QWE+45QWF+45QXE+45QXF,0.0114,7228,126240,27.063,3243,26.822,0.242,26.822,0.242,26.777,0.286,0.256,0.045,,,
2026-04-02,night,ok,,2026-04-02T13:08:19,19.03,4,45QWE+45QWF+45QXE+45QXF,0.8508,1431455,126172,28.324,555478,27.967,0.357,27.962,0.362,27.989,0.335,0.351,0.027,14.34,15.81,1.47
2026-04-12,night,ok,,2026-04-12T23:29:26,5.38,4,45QWE+45QWF+45QXE+45QXF,0.9096,1530897,126158,25.672,581454,25.391,0.282,25.389,0.283,25.358,0.314,0.293,0.033,7.27,7.65,0.38
2026-04-20,night,ok,,2026-04-20T20:24:16,2.29,4,45QWE+45QWF+45QXE+45QXF,0.6955,1151805,126160,26.397,406704,25.746,0.651,25.745,0.652,25.579,0.819,0.707,0.167,9.35,9.87,0.52
2026-04-24,night,ok,,2026-04-24T18:51:17,0.75,4,45QWE+45QWF+45QXE+45QXF,0.9337,1571847,126189,23.226,586042,23.335,-0.109,23.339,-0.113,23.341,-0.116,-0.113,0.006,10.73,11.28,0.56
2026-04-28,night,skipped,no usable LST pixels,2026-04-28T17:17:48,23.18,4,,,,,,,,,,,,,,,,,
2026-05-02,night,skipped,usable 7% < 30%,2026-05-02T15:46:05,21.66,5,45QWE+45QWF+45QXE+45QXF,0.0747,51111,126193,37.152,17543,36.768,0.384,36.769,0.383,36.878,0.274,0.347,0.11,,,
2026-05-07,night,skipped,usable 2% < 30%,2026-05-07T23:14:19,5.13,5,45QWE+45QWF+45QXE+45QXF,0.0233,10146,42883,24.741,4437,24.694,0.047,24.694,0.047,24.634,0.107,0.067,0.06,,,
2026-05-10,night,skipped,no usable LST pixels,2026-05-10T12:38:42,18.53,5,,,,,,,,,,,,,,,,,
2026-05-14,day,ok,,2026-05-14T11:04:51,16.96,5,45QWE+45QWF+45QXE+45QXF,0.6834,1144743,126188,33.207,419206,32.818,0.39,32.817,0.391,32.879,0.329,0.37,0.062,10.7,11.11,0.41
2026-05-26,day,ok,,2026-05-26T06:22:45,12.26,5,45QWE+45QWF+45QXE+45QXF,0.4518,754451,126129,34.069,327710,33.686,0.384,33.67,0.399,33.445,0.624,0.469,0.241,6.35,6.6,0.26
2026-05-31,night,skipped,too few urban pixels,2026-05-31T13:49:48,19.71,5,45QWE+45QWF+45QXE,0.0,0,104070,,,,,,,,,,,,,
2026-06-03,day,ok,,2026-06-03T03:13:35,9.11,6,45QWE+45QWF+45QXE+45QXF,0.9375,1582773,126047,42.826,608482,41.751,1.075,41.745,1.081,41.651,1.175,1.111,0.101,7.61,7.64,0.03
2026-06-07,day,skipped,usable 3% < 30%,2026-06-07T01:37:29,7.51,6,45QWE+45QWF+45QXE+45QXF,0.0253,43864,126195,27.009,26239,26.688,0.321,26.688,0.321,26.759,0.25,0.298,0.071,,,
2026-06-14,night,skipped,usable 22% < 30%,2026-06-14T22:29:03,4.38,6,45QWE+45QWF+45QXE+45QXF,0.2244,394445,126000,32.025,106939,32.0,0.026,32.006,0.019,32.864,-0.839,-0.265,0.865,,,
2026-06-18,night,skipped,no usable LST pixels,2026-06-18T20:55:01,2.81,6,,,,,,,,,,,,,,,,,
2026-06-26,night,ok,,2026-06-26T17:46:14,23.66,6,45QWE+45QWF+45QXE+45QXF,0.5156,864741,126169,34.986,276536,34.105,0.881,34.106,0.88,34.056,0.93,0.897,0.05,21.26,21.46,0.2
